央视,#genre#
CCTV10,http://60.223.90.38:8002/rtp/226.0.2.27:8128
CCTV11,http://60.223.90.38:8002/rtp/226.0.2.28:8136
CCTV12,http://60.223.90.38:8002/rtp/226.0.2.29:8144
CCTV13,http://60.223.90.38:8002/rtp/226.0.2.30:8152
CCTV14,http://60.223.90.38:8002/rtp/226.0.2.31:8160
CCTV15,http://60.223.90.38:8002/rtp/226.0.2.32:8168
CCTV17,http://60.223.90.38:8002/rtp/226.0.2.207:9568
CETV1,http://60.223.90.38:8002/rtp/226.0.2.68:8456
CETV2,http://60.223.90.38:8002/rtp/226.0.2.69:8464
CETV4,http://60.223.90.38:8002/rtp/226.0.2.70:8472
CETV早期教育,http://60.223.90.38:8002/rtp/226.0.2.99:8704
CETV1,http://60.223.90.38:8002/rtp/226.0.2.181:9360
CCTV央视台球,http://60.223.90.38:8002/rtp/226.0.2.216:9640
CCTV高网,http://60.223.90.38:8002/rtp/226.0.2.217:9648
CCTV电视指南,http://60.223.90.38:8002/rtp/226.0.2.218:9656
CCTV央视文化精品,http://60.223.90.38:8002/rtp/226.0.2.219:9664
CCTV风云音乐,http://60.223.90.38:8002/rtp/226.0.2.220:9672
CCTV第一剧场,http://60.223.90.38:8002/rtp/226.0.2.221:9680
CCTV世界地理,http://60.223.90.38:8002/rtp/226.0.2.222:9688
CCTV兵器科技,http://60.223.90.38:8002/rtp/226.0.2.223:9696
CCTV怀旧剧场,http://60.223.90.38:8002/rtp/226.0.2.224:9704
CCTV风云足球,http://60.223.90.38:8002/rtp/226.0.2.225:9712
CCTV女性时尚,http://60.223.90.38:8002/rtp/226.0.2.226:9720
CCTV风云剧场,http://60.223.90.38:8002/rtp/226.0.2.227:9728
CCTV1,http://1.192.196.145:8055/rtp/239.16.20.1:10010
CCTV2,http://1.192.196.145:8055/rtp/239.16.20.2:10020
CCTV3,http://1.192.196.145:8055/rtp/239.16.20.3:10030
CCTV4,http://1.192.196.145:8055/rtp/239.16.20.4:10040
CCTV5,http://1.192.196.145:8055/rtp/239.16.20.53:10530
CCTV5+,http://1.192.196.145:8055/rtp/239.16.20.5:10050
CCTV6,http://1.192.196.145:8055/rtp/239.16.20.6:10060
CCTV7,http://1.192.196.145:8055/rtp/239.16.20.51:10510
CCTV8,http://1.192.196.145:8055/rtp/239.16.20.8:10080
CCTV9,http://1.192.196.145:8055/rtp/239.16.20.9:10090
CCTV10,http://1.192.196.145:8055/rtp/239.16.20.10:10100
CCTV11,http://1.192.196.145:8055/rtp/239.16.20.11:10110
CCTV12,http://1.192.196.145:8055/rtp/239.16.20.12:10120
CCTV13,http://1.192.196.145:8055/rtp/239.16.20.13:10130
CCTV14,http://1.192.196.145:8055/rtp/239.16.20.14:10140
CCTV15,http://1.192.196.145:8055/rtp/239.16.20.15:10150
CCTV16,http://1.192.196.145:8055/rtp/239.16.20.34:10340
CCTV17,http://1.192.196.145:8055/rtp/239.16.20.7:10070
CETV1,http://1.192.196.145:8055/rtp/239.16.20.78:10780
CCTV新影老故事,http://1.192.196.145:8055/rtp/239.16.20.133:11330
CETV1,http://1.192.196.145:8055/rtp/239.16.10.12:2000
CCTV1,http://1.192.196.145:8055/rtp/239.16.10.1:2000
CCTV1,http://1.192.196.145:8055/rtp/239.16.10.36:2000
CCTV2,http://1.192.196.145:8055/rtp/239.16.10.127:2000
CCTV3,http://1.192.196.145:8055/rtp/239.16.10.2:2000
CCTV3,http://1.192.196.145:8055/rtp/239.16.20.253:12530
CCTV4,http://1.192.196.145:8055/rtp/239.16.10.128:2000
CCTV5,http://1.192.196.145:8055/rtp/239.16.10.132:2000
CCTV5+,http://1.192.196.145:8055/rtp/239.16.10.3:2000
CCTV6,http://1.192.196.145:8055/rtp/239.16.10.101:2000
CCTV7,http://1.192.196.145:8055/rtp/239.16.10.130:2000
CCTV8,http://1.192.196.145:8055/rtp/239.16.10.102:2000
CCTV9,http://1.192.196.145:8055/rtp/239.16.10.103:2000
CCTV10,http://1.192.196.145:8055/rtp/239.16.10.108:2000
CCTV11,http://1.192.196.145:8055/rtp/239.16.10.109:2000
CCTV12,http://1.192.196.145:8055/rtp/239.16.10.110:2000
CCTV13,http://1.192.196.145:8055/rtp/239.16.10.111:2000
CCTV14,http://1.192.196.145:8055/rtp/239.16.10.112:2000
CCTV15,http://1.192.196.145:8055/rtp/239.16.10.113:2000
CCTV17,http://1.192.196.145:8055/rtp/239.16.10.129:2000
CCTV1,http://183.54.210.224:9999/udp/239.77.1.17:5146
CCTV1,http://183.54.210.224:9999/udp/239.77.1.144:5146
CCTV1,http://183.54.210.224:9999/udp/239.77.0.86:5146
CCTV1,http://183.54.210.224:9999/udp/239.77.0.129:5146
CCTV2,http://183.54.210.224:9999/udp/239.77.1.158:5146
CCTV2,http://183.54.210.224:9999/udp/239.253.43.17:5146
CCTV2,http://183.54.210.224:9999/udp/239.77.0.137:5146
CCTV3,http://183.54.210.224:9999/udp/239.77.0.169:5146
CCTV3,http://183.54.210.224:9999/udp/239.77.0.175:5146
CCTV4,http://183.54.210.224:9999/udp/239.77.1.163:5146
CCTV4,http://183.54.210.224:9999/udp/239.77.1.166:5146
CCTV4,http://183.54.210.224:9999/udp/239.77.0.78:5146
CCTV5,http://183.54.210.224:9999/udp/239.77.0.170:5146
CCTV5,http://183.54.210.224:9999/udp/239.77.0.177:5146
CCTV5+,http://183.54.210.224:9999/udp/239.77.0.87:5146
CCTV5+,http://183.54.210.224:9999/udp/239.77.1.31:5146
CCTV5+,http://183.54.210.224:9999/udp/239.77.1.147:5146
CCTV6,http://183.54.210.224:9999/udp/239.77.0.171:5146
CCTV6,http://183.54.210.224:9999/udp/239.77.0.178:5146
CCTV7,http://183.54.210.224:9999/udp/239.77.1.159:5146
CCTV7,http://183.54.210.224:9999/udp/239.77.1.167:5146
CCTV7,http://183.54.210.224:9999/udp/239.77.0.138:5146
CCTV8,http://183.54.210.224:9999/udp/239.77.0.172:5146
